full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
1400 FERNWOOD DR MESQUITE TX 75149,3,2.0,2013,2003,8398,366942,32.7815225,-96.6359868,75149,366942,317819
1420 MEADOWCREST DR MESQUITE TX 75149,4,2.0,1969,2412,14606,316395,32.7829353,-96.6365672,75149,316395,320421
831 BIG THICKET TRL MESQUITE TX 75149,4,2.0,1995,2328,8246,364289,32.7779094,-96.5846328,75149,364289,334485
334 E CROSSLAND BLVD GRAND PRAIRIE TX 75052,3,2.0,1981,2384,8546,364289,32.6801437,-97.0048032,75052,364289,334485
413 GREEN CANYON DR MESQUITE TX 75150,3,2.0,1979,1502,6482,260006,32.8163265,-96.6017198,75150,260006,270004
4332 CHESTNUT DR MESQUITE TX 75150,3,1.5,1960,1713,7200,234570,32.8246626,-96.6341046,75150,234570,265984
2645 GREENLAND DR MESQUITE TX 75150,3,1.5,1961,1731,10128,261116,32.8260261,-96.6367013,75150,261116,239572
1806 CUMBERLAND DR GARLAND TX 75040,4,2.0,1958,1101,5998,261116,32.8956657,-96.6258816,75040,261116,239572
1806 INDIAN SCHOOL RD GARLAND TX 75044,3,1.5,1970,1324,7619,261116,32.9405497,-96.654771,75044,261116,239572
913 RUTHERFORD DR MESQUITE TX 75149,3,1.5,1970,1113,7662,257614,32.7542613,-96.5758571,75149,257614,222211
2226 LUAU ST MESQUITE TX 75150,3,2.0,1965,1775,7327,261951,32.7980419,-96.6478714,75150,261951,242747
1517 THRUSH CT GARLAND TX 75040,3,1.5,1982,1017,3938,261951,32.8946705,-96.609945,75040,261951,242747
3905 O HARE DR MESQUITE TX 75150,3,2.0,1978,1375,9121,264108,32.8179784,-96.6020119,75150,264108,259894
301 E RIDGEWOOD DR GARLAND TX 75041,2,2.0,1955,1404,7562,264108,32.8900282,-96.6282236,75041,264108,259894
707 BUTTON DR MESQUITE TX 75150,3,2.0,1980,1727,7440,260177,32.8183771,-96.6061008,75150,260177,284060
1314 ROSEWOOD HILLS DR GARLAND TX 75040,3,2.5,1964,1509,7501,260177,32.9190409,-96.614904,75040,260177,284060
609 HARDWOOD TRL MESQUITE TX 75150,3,2.0,1979,2011,7200,318556,32.8193536,-96.6050577,75150,318556,307999
1205 JUANITA ST MESQUITE TX 75149,3,1.0,1961,1682,7919,274753,32.784517,-96.621541,75149,274753,260042
1205 JUANITA ST MESQUITE TX 75149,3,1.0,1961,1682,7919,274753,32.784517,-96.621541,75149,274753,249037
4201 FLAMINGO WAY  MESQUITE TX 75150,3,2.0,1986,1310,5197,274753,32.7974286,-96.6604061,75150,274753,260042
4201 FLAMINGO WAY  MESQUITE TX 75150,3,2.0,1986,1310,5197,274753,32.7974286,-96.6604061,75150,274753,249037
