property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31564844,3103 WOODSMAN CT GRAND PRAIRIE TX 75052,3,2.0,1999,1441,9805,312213,Redfin Estimate,32.6958126,-97.0337473,['https://ssl.cdn-redfin.com/photo/90/mbphoto/363/genMid.20421363_0.jpg'],75052
110137950,1124 MEADOWS DR GRAND PRAIRIE TX 75052,3,2.0,2016,1580,261360,487152,Redfin Estimate,32.6978541,-97.0194867,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1124+Meadows+Dr%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=jVp9mPZynMFfViePVIKbWtHBX84='],75052
32254589,3029 BROOKFIELD DR GRAND PRAIRIE TX 75052,4,2.5,2002,2454,5519,342275,Redfin Estimate,32.7001344,-97.0171015,['https://ssl.cdn-redfin.com/photo/90/mbphoto/565/genMid.11190565_3.jpg'],75052
31547322,306 MANANA DR GRAND PRAIRIE TX 75050,3,2.0,1982,1667,8516,300682,Redfin Estimate,32.814144,-96.9981706,['https://ssl.cdn-redfin.com/photo/90/mbphoto/042/genMid.13617042_0.jpg'],75050
30761605,936 QUAIL CREEK DR GRAND PRAIRIE TX 75052,4,2.5,2005,2570,5998,389851,Redfin Estimate,32.7050639,-97.0184907,['https://ssl.cdn-redfin.com/photo/90/mbphoto/540/genMid.13399540_0.jpg'],75052
31547436,3169 PRAIRIE CREEK CT GRAND PRAIRIE TX 75052,3,2.0,1987,1384,4495,271021,Redfin Estimate,32.6937702,-97.0179811,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3169+Prairie+Creek+Ct%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=A1G47Sk1I3rv8obC4IinDB10Ji0='],75052
31585787,662 W WARRIOR TRL GRAND PRAIRIE TX 75052,2,2.0,1983,1201,4247,208283,Redfin Estimate,32.6983578,-97.0104791,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=662+W+Warrior+Trl%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=lwtA27QEuY5lSEF1b4ujIWqO75o='],75052
31977631,1812 CLOVER TRL RICHARDSON TX 75081,4,2.0,1978,2005,8999,390032,Redfin Estimate,32.9438125,-96.6896893,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1812+Clover+Trl%2C+Richardson%2C+TX+75081&size=665x441&source=outdoor&client=gme-redfin&signature=p_k-qBAydZFauqB8XHeI0DHmbYk='],75081
30753761,836 LUXOR CT GRAND PRAIRIE TX 75052,5,3.5,2005,3621,8712,474409,Redfin Estimate,32.6662696,-97.0177139,['https://ssl.cdn-redfin.com/photo/90/mbphoto/915/genMid.14760915_1.jpg'],75052
31517089,1601 BRITISH BLVD GRAND PRAIRIE TX 75050,4,2.5,1989,3642,10594,358082,Redfin Estimate,32.7612051,-97.0250893,['https://ssl.cdn-redfin.com/photo/90/mbphoto/912/genMid.11134912_2.jpg'],75050
31520857,1205 CANADIAN CIR GRAND PRAIRIE TX 75050,3,3.5,1980,2621,9596,321756,Redfin Estimate,32.7620423,-97.0214302,['https://ssl.cdn-redfin.com/photo/90/mbphoto/860/genMid.11971860_1.jpg'],75050
31536252,1718 WESTMINSTER DR GRAND PRAIRIE TX 75050,3,2.0,1963,1745,11334,304955,Redfin Estimate,32.7656672,-97.015268,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=32.7656672%2C-97.015268&size=665x441&source=outdoor&client=gme-redfin&signature=p4iO7YzFHX5TXTuaYiXI4lGnzkM='],75050
31530596,521 SW 14TH ST GRAND PRAIRIE TX 75051,3,2.0,1940,1295,5968,241461,Redfin Estimate,32.7361676,-97.0233557,['https://ssl.cdn-redfin.com/photo/90/mbphoto/688/genMid.14382688_2.jpg'],75051
31530515,2101 BEAUMONT ST GRAND PRAIRIE TX 75051,3,1.0,1950,890,7331,179323,Redfin Estimate,32.7358599,-97.0329031,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2101+Beaumont+St%2C+Grand+Prairie%2C+TX+75051&size=665x441&source=outdoor&client=gme-redfin&signature=PJRyrrPVLuORq9IuT_PZWRqEJ1w='],75051
31592890,238 W PHILLIPS CT GRAND PRAIRIE TX 75051,4,2.0,1959,1261,10990,271231,Redfin Estimate,32.7245463,-97.0068603,['https://ssl.cdn-redfin.com/photo/90/mbphoto/233/genMid.13495233_0.jpg'],75051
31946179,1422 DUMONT DR RICHARDSON TX 75080,3,2.5,1964,2576,8250,464412,Redfin Estimate,32.9467808,-96.7673327,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1422+Dumont+Dr%2C+Richardson%2C+TX+75080&size=665x441&source=outdoor&client=gme-redfin&signature=u8dTj_SEZXqJUwnuvB9QcwnWXWo='],75080
31515998,2121 AVE C  GRAND PRAIRIE TX 75051,3,1.5,1971,1120,9317,232419,Redfin Estimate,32.7145574,-96.9822498,['https://ssl.cdn-redfin.com/photo/90/mbphoto/489/genMid.13063489_0.jpg'],75051
31538219,2318 AVE C  GRAND PRAIRIE TX 75051,3,1.5,1970,1209,12314,272767,Redfin Estimate,32.7111994,-96.9821158,['https://ssl.cdn-redfin.com/photo/90/mbphoto/396/genMid.20011396_2.jpg'],75051
31529036,1918 FORT WORTH ST GRAND PRAIRIE TX 75050,2,1.0,1948,1192,9696,208461,Redfin Estimate,32.7435783,-97.0299337,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1918+Fort+Worth+St%2C+Grand+Prairie%2C+TX+75050&size=665x441&source=outdoor&client=gme-redfin&signature=-vpGlTXDgNE9anSmMPYTodXVtSI='],75050
31530528,518 NW 11TH ST GRAND PRAIRIE TX 75050,2,2.0,1958,1801,7858,218257,Redfin Estimate,32.7463948,-97.018525,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=518+NW+11th+St%2C+Grand+Prairie%2C+TX+75050&size=665x441&source=outdoor&client=gme-redfin&signature=38L6ZjXwYHJU6PdETYrlSGKQGgk='],75050
31534078,510 NW 18TH ST GRAND PRAIRIE TX 75050,3,1.0,1959,1107,6085,215957,Redfin Estimate,32.7466502,-97.0275194,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=510+NW+18th+St%2C+Grand+Prairie%2C+TX+75050&size=665x441&source=outdoor&client=gme-redfin&signature=eB2ATGbEe82k9l80ehAXTavV8f8='],75050
31545066,102 RENFRO ST GRAND PRAIRIE TX 75051,3,1.5,1980,1395,8303,276473,Redfin Estimate,32.7354377,-97.0036225,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=102+Renfro+St%2C+Grand+Prairie%2C+TX+75051&size=665x441&source=outdoor&client=gme-redfin&signature=FBEgtbbyU50dXV2fQ6gh80U-jQs='],75051
31559356,2002 TOMPKINS DR GRAND PRAIRIE TX 75051,3,2.5,1958,1104,11317,252839,Redfin Estimate,32.7166345,-97.0031239,['https://ssl.cdn-redfin.com/photo/90/mbphoto/388/genMid.14722388_0.jpg'],75051
30751928,3740 WINDING FOREST DR GRAND PRAIRIE TX 75052,5,3.5,2005,3510,10916,512510,Redfin Estimate,32.6826486,-96.9992618,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=3740+Winding+Forest+Dr%2C+Grand+Prairie%2C+TX+75052&size=665x441&source=outdoor&client=gme-redfin&signature=Y9RgZ2nrtVtz8IETmLgCWMuxNlE='],75052
31594264,1214 BURLESON ST GRAND PRAIRIE TX 75050,3,2.0,1954,1292,8446,238692,Redfin Estimate,32.7522524,-97.0207112,['https://ssl.cdn-redfin.com/photo/90/mbphoto/001/genMid.13772001_0.jpg'],75050
31594105,733 NW 14TH ST GRAND PRAIRIE TX 75050,4,2.5,1956,2762,10145,265714,Redfin Estimate,32.7504729,-97.0226802,['https://ssl.cdn-redfin.com/photo/90/mbphoto/925/genMid.14221925_4.jpg'],75050
31597678,1922 SE 4TH ST GRAND PRAIRIE TX 75051,3,1.0,1959,1328,6429,236368,Redfin Estimate,32.7176306,-97.001824,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1922+SE+4th+St%2C+Grand+Prairie%2C+TX+75051&size=665x441&source=outdoor&client=gme-redfin&signature=tYTaSGf3Yt33-vdFwkyzGY184Ns='],75051
31599306,1822 SPIKES ST GRAND PRAIRIE TX 75051,3,1.5,1970,1107,6939,208989,Redfin Estimate,32.7342737,-97.0283173,['https://ssl.cdn-redfin.com/photo/90/mbphoto/407/genMid.13196407_1.jpg'],75051
31611989,2109 RUEA ST GRAND PRAIRIE TX 75050,3,1.0,1950,884,9840,225124,Redfin Estimate,32.7551045,-96.9751705,['https://ssl.cdn-redfin.com/photo/90/mbphoto/521/genMid.14691521_0.jpg'],75050
31564658,3104 PHEASANT RUN CT GRAND PRAIRIE TX 75052,3,2.0,1998,1777,7436,317242,Redfin Estimate,32.6981079,-97.0309842,['https://ssl.cdn-redfin.com/photo/90/mbphoto/811/genMid.10853811_2.jpg'],75052
31553955,1046 HIGHLAND DR GRAND PRAIRIE TX 75051,3,1.0,1953,1258,6787,211057,Redfin Estimate,32.7311323,-97.0123571,['https://ssl.cdn-redfin.com/photo/90/mbphoto/855/genMid.11516855_4.jpg'],75051
31553662,914 HIGHLAND DR GRAND PRAIRIE TX 75051,3,1.0,1952,1298,6848,222040,Redfin Estimate,32.7349457,-97.0122849,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=914+Highland+Dr%2C+Grand+Prairie%2C+TX+75051&size=665x441&source=outdoor&client=gme-redfin&signature=zK4lZUf9KTwt3j9_GyCCCBfsuWc='],75051
31605304,1218 SW 5TH ST GRAND PRAIRIE TX 75051,3,2.0,1963,1740,7876,239513,Redfin Estimate,32.7300609,-97.009392,['https://ssl.cdn-redfin.com/photo/90/mbphoto/222/genMid.11185222_3.jpg'],75051
